,0,1
Шлиссельбург,13305,Шлиссельбург (нем. Schlüsselburg — «ключ-город») — город (с 1780 года) в Кировском районе Ленинградской области. Административный центр и единственный населённый пункт Шлиссельбургского городского поселения.
Петров Вал,13264,Петров Вал — город (с 1988) в Камышинском районе Волгоградской области.
Яхрома,13248,"Яхрома — город (с 1940[2]) в Дмитровском городском округе Московской области России, в 55 км к северу от Москвы. Население города — 14 275[1] чел. (2018). Город не гомогенен: единственным связующим звеном между двумя частями Яхромы (бывшими фабричным и станционным посёлками) служит мост, расположенный в отдалении от жилых кварталов."
Могоча,13228,"Могоча — город в Забайкальском крае России, административный центр Могочинского района и городского поселения «Могочинское»."
Хвалынск,13199,"Хвалынск — город в Саратовской области России, административный центр Хвалынского района."
Карабаш,13151,Карабаш —  город в Челябинской области России. Административный центр Карабашского городского округа. Население составляет 11 178[2] чел. (2017).
Камешково,13113,"Камешково — город (с 1951[3]) во Владимирской области России, административный центр Камешковского района."
Кемь,13061,Кемь (карел. и фин. Kemi) — город в Республике Карелия Российской Федерации. Административный центр Кемского района.
Анадырь,13053,"Анадырь (чук. Кагыргын (южные и глубинные чукчи), Въэӈын (северные чукчи)[3]) — город на крайнем северо-востоке России, административный центр Чукотского автономного округа."
Горняк,13040,Горняк – город в Алтайском крае Российской Федерации. Административный центр Локтевского района. Статус города получил в 1969 году.
Торопец,13018,"Торопец — город (с 1074[2]) в России, административный центр Торопецкого района Тверской области."
Зеленоградск,13015,"Зеленоградск (до 1946 года — Кранц, нем. Cranz, польск. Krańc, лит. Krantas) — город-курорт в Калининградской области Российской Федерации, административный центр Зеленоградского городского округа."
Аркадак,12846,"Аркадак — город в России, административный центр Аркадакского района Саратовской области. Находится на восточной окраине Окско-Донской равнины, на реке Большой Аркадак (близ её впадения в реку Хопёр), в 248 км к западу от Саратова. Аркадак — это железнодорожная станция Юго-Восточной железной дороги на линии Поворино-Пенза. Население — 11 986[1] чел. (2017)."
Снежногорск,12698,"Снежногорск — город в Мурманской области России. До 28 мая 2008 года центр ЗАТО Снежногорск, ныне входит в территориальный округ Снежногорск городского округа ЗАТО Александровск."
Адыгейск,12689,"Адыгейск (адыг. Адыгэкъал[2]) — город на юге России, в Республике Адыгея[3]. Административный центр муниципального образования городской округ город Адыгейск, созданного на территории административно-территориальной единицы Адыгейский республиканский городской округ[4][5]."
Уяр,12666,"Уяр — город (с 1944 года. Изначально носил название станция Клюквенная) в России, административный центр Уярского района Красноярского края."
Кораблино,12657,"Кораблино — город (с 1965[2]) в Рязанской области, административный центр Кораблинского района."
Чаплыгин,12656,"Чаплыгин — город в России, административный центр Чаплыгинского района Липецкой области."
Киренск,12652,"Киренск — город (с 1775) в России, административный центр Киренского района и Киренского городского поселения Иркутской области."
Удачный,12611,"Удачный (якут. Удачнай) — город в Мирнинском районе Республики Саха (Якутия) Российской Федерации, образует городское поселение город Удачный. Градообразующее предприятие — Удачнинский ГОК."
Юрюзань,12568,Юрюзань — город в Катав-Ивановском районе Челябинской области России. Административный центр Юрюзанского городского поселения. Население составляет 11 685[1] чел. (2017).
Балей,12536,Балей — город в Забайкальском крае России. Административный центр Балейского района. Образует городское поселение город Балей.
Окуловка,12464,"Окуловка — город в России, административный центр Окуловского муниципального района Новгородской области."
Малая Вишера,12461,"Малая Вишера — город (с 1921[2]) в России, административный центр Маловишерского муниципального района Новгородской области, железнодорожная станция Октябрьской железной дороги."
Нязепетровск,12452,Нязепетровск — город в Нязепетровском районе Челябинской области России. Административный центр района и Нязепетровского городского поселения. Население составляет 11 752[1] чел. (2017).
Новая Ляля,12400,"Новая Ляля — город в Свердловской области России, административный центр Новолялинского городского округа."
Сосенский,12394,"Сосенский — город (с 1991) в Калужской области, основан в 1952 году в связи с разработкой шахт в Подмосковном угольном бассейне."
Чкаловск,12371,"Чкаловск (до 1937 года — Василёво) — город (с 1955[2]) в Нижегородской области России, административный центр городского округа город Чкаловск[3]."
Вуктыл,12357,Вуктыл — город (с 1984 г.) в Республике Коми Российской Федерации. Образует городской округ Вуктыл.
Горнозаводск,12334,"Горнозаводск — город в России, самый восточный город Пермского края, административный центр Горнозаводского района. Имеет статус городского поселения. Население — 11 477[1] чел. (2017)."
Урень,12311,"Урень — город (с 1973[2]) в Нижегородской области России, административный центр Уренского района[3]."
Печоры,12308,"Печоры — город (с 1782 года[3]) в Псковской области России, административный центр муниципальных образований Городское поселение Печоры и Печорский район. Находится в 3 км от железнодорожной станции Печоры-Псковские. Самый западный город России без учёта Калининградской области."
Боровск,12283,"Боровск — город в России, административный центр Боровского района Калужской области. В XIV—XV вв. — один из центров Серпуховско-Боровского княжества. В 2000 г. вошёл в список исторических городов России. Имеет почетное наименование «Город воинской доблести» (2017)[3][4]. Население — 10 966[2] чел. (2017 год)."
Лихославль,12259,"Лихославль — город (с 1925[2]) в России, административный центр Лихославльского района Тверской области."
Долинск,12200,"Долинск — город (с 1946) в России, административный центр городского округа «Долинский» Сахалинской области. Название городу дано Указом Президиума Верховного Совета РСФСР от 15 июня 1946 года."
Волосово,12162,"Волосово — город (с 1999 года) в России, административный центр Волосовского городского поселения и Волосовского муниципального района Ленинградской области."
Жуков,12150,"Жуков — город в Центральном федеральном округе Российской Федерации, административный центр Жуковского района Калужской области."
Сорск,12140,"Сорск (хак. Сорығ) — город в России, административный центр городского округа город Сорск Республики Хакасия. Население — 11 416[1] чел. (2018)."
Называевск,12119,"Называевск — город в России, административный центр Называевского района Омской области."
Бабаево,12074,"Бабаево — город в России, административный центр Бабаевского района и городского поселения город Бабаево Вологодской области. Город расположен на берегах реки Колпь (бассейн Волги), в 300 км к западу от Вологды.mw-parser-output .ts-Переход img{margin-left:.285714em}[⇨]."
Тюкалинск,12050,Тюкалинск — город в Омской области России. Административный центр Тюкалинского района и Тюкалинского городского поселения.
Заволжск,12045,"Заволжск — город (с 1954[2]) в России, административный центр Заволжского района Ивановской области."
Чулым,11964,"Чулым (от тюрк. Чул — вода, река, Ым — запах, гниль, вонь; дословно: «гнилая вода») — город в Чулымском районе Новосибирской области."
Сосновка,11960,"Сосновка — город (с 1962) в России, в Вятскополянском районе Кировской области России, образует Сосновское городское поселение."
Звенигово,11945,"Звенигово (мар. Звенигово[2]) — город (с 1974 г.) в Республике Марий Эл Российской Федерации. Центр Звениговского района, образует городское поселение Звенигово."
Углегорск,11880,"Углегорск — город в России, административный центр Углегорского района Сахалинской области. Во времена японской оккупации южного Сахалина именовался Эсуторо (恵須取支庁)."
Судогда,11848,"Судогда — город (с 1778[2]) во Владимирской области России, административный центр Судогодского района."
Верхний Тагил,11843,"Верхний Тагил — город в Свердловской области, центр городского округа Верхний Тагил."
Дрезна,11815,"Дрезна[4][5][6] — город в городском округе Ликино-Дулёво Московской области России, в 80 км к востоку от Москвы и в 12 км к юго-западу от районного центра, на реке Дрезне (правый приток Клязьмы); один из самых маленьких городов Московской области. Железнодорожная станция Дрезна на линии Москва — Нижний Новгород."
Богучар,11811,Богучар — город (с 1779[3]) на юге Воронежской области России.
Неман,11794,"Неман, до 1947 года Рагнит (нем. Ragnit, лит. Ragainė, польск. Ragneta) — город на левом берегу реки Неман (Мемель) в северо-восточной части Калининградской области Российской Федерации, административный центр Неманского муниципального района и Неманского городского поселения. Расположен в 12 км от города Советск и в 120 км к северо-востоку от Калининграда на границе с Литвой."
Михайлов,11783,"Михайлов — город (с 1778[2]) в России, административный центр Михайловского района Рязанской области."
Невельск,11682,"Невельск — город-порт на Дальнем Востоке России, административный центр Невельского района Сахалинской области. Расположен на юго-западном побережье острова Сахалин, на берегу залива Невельского Татарского пролива Японского моря, в 94 км от Южно-Сахалинска. Ближайший к Японии город РФ (расстояние до мыса Соя 124 км)."
Сураж,11640,"Сураж — город (с 1781[2]) в России, административный центр Суражского района Брянской области."
Ворсма,11622,Ворсма — город (с 1955[2]) в Павловском муниципальном районе Нижегородской области России[3].
Кремёнки,11617,"Кремёнки — город (с 28.12.2004) в Жуковском районе Калужской области России, центр городского поселения «Город Кремёнки» Жуковского муниципального района."
Опочка,11601,"Опочка — город (с 1412[2]) в России, административный центр Опочецкого района Псковской области. Образует городское поселение Опочка — в границах города)[3]. Также является административным центром сельского поселения Пригородная волость."
Тетюши,11596,"Тетюши (тат. Тәтеш) — город (с 1781 г.) в Республике Татарстан России, административный центр Тетюшского района и городского поселения город Тетюши в его составе."
Хилок,11530,"Хилок — город (с 1951 года) в Забайкальском крае России. Административный центр Хилокского района, образует городское поселение Хилокское."
Питкяранта,11484,"Питкяранта (Деревня на Долгом берегу; рус. дореф. Питкерандо, Питкерандскій заводъ, карел. Pitkyrandu, фин. Pitkäranta) — город в России в составе Республики Карелия. Административный центр Питкярантского района, образует Питкярантское городское поселение."
Завитинск,11481,"Завитинск — город (с 1954) в Амурской области России, административный центр Завитинского района и городского поселения «Город Завитинск»."
Болхов,11421,"Болхов — город в России, административный центр Болховского района Орловской области. Образует одноимённое муниципальное образование городское поселение Болхов как единственный населённый пункт в его составе[3]."
Эртиль,11387,"Эртиль — город (с 1963[4]) в Воронежской области России, административный центр Эртильского района и городского поселения Эртиль."
Нариманов,11386,"Нариманов — город (с 1984) в России, административный центр Наримановского района Астраханской области, образует муниципальное образование «Город Нариманов» со статусом городского поселения."
Петухово,11291,"Петухово — город в России, административный центр Петуховского района Курганской области."
Луза,11262,"Луза — город в Приволжском федеральном округе РФ, административный центр Лузского района Кировской области и Лузского городского поселения. Одноимённая железнодорожная станция (1899)."
Закаменск,11249,"Закаменск (до 1959 года — Городок, бур. Захаамин хото) — город районного значения в России, административный центр Закаменского района Республики Бурятия и городского поселения «Город Закаменск»."
Белая Холуница,11232,"Белая Холуница —  город в России, административный центр Белохолуницкого района Кировской области."
Беломорск,11217,"Беломорск (карел. Šuomua — «болотистый край», фин. Sorokka[3]) — город в Республике Карелия Российской Федерации. Административный центр Беломорского района, образует Беломорское городское поселение."
Нижние Серги,11217,"Нижние Серги — город, административный центр Нижнесергинского района Свердловской области."
Заозёрск,11206,"Заозёрск (ранее также известен как Североморск-7, Мурманск-150, Западная Лица) — город в Мурманской области России. Находится близ губы Западная Лица Мотовского залива Баренцева моря."
Зуевка,11198,"Зуевка — город (с 1944) в России, административный центр Зуевского района Кировской области."
Гаджиево,11089,Гаджиево — город в Мурманской области. Входит в городской округ ЗАТО «Александровск». В городе расположена военно-морская база Северного Флота России.
Камбарка,11028,"Камбарка — город (с 4 июля 1945 года) в Удмуртской Республике России, Административный центр Камбарского района. Образует одноимённое муниципальное образование Камбарское со статусом городского поселения как единственный населённый пункт в его составе[3]."
Пионерский,11017,"Пионерский (до 1946 года — Нойкурен, нем. Neukuhren, польск. Kurowo, лит. Kuršiai, бывш. Восточная Пруссия) — город-курорт и морской порт в Калининградской области Российской Федерации."
Гремячинск,11005,"Гремячинск — город в Пермском крае, Россия, административный центр Гремячинского городского округа."
Щучье,10971,"Щучье (основан в 1750 году; статус города получил в 1945 году) — город в Российской Федерации, административный центр Щучанского района Курганской области. Находится в 176 км на запад от Кургана и в 3 км на юг от автомобильной дороги Иртыш. Площадь города по данным Росстата составляет 35 км², население — 9775[1] чел. (2017). Через город проходит железнодорожная линия Челябинск — Курган, на его территории расположена железнодорожная станция Щучье."
Шагонар,10958,Шагонар (тув. Шагаан-Арыг) — город (с 1945 года) в Республике Тыва Российской Федерации. Административный центр Улуг-Хемского кожууна. Образует городское поселение город Шагонар как единственный населённый пункт в его составе.
Дигора,10856,"Дигора (дигорск. Дыгурæ, иронск. Дигорæ произношение (инф.)) — город в республике Северная Осетия — Алания. Административный центр Дигорского района. Образует муниципальное образование Дигорское городское поселение."
Светлогорск,10775,"Светлогорск (до 1947 года — Раушен, нем. Rauschen) — город-курорт в Калининградской области Российской Федерации. Административный центр Светлогорского района и городского поселения «Город Светлогорск»[3]."
Микунь,10732,Микунь (коми Микунь) — город (с 1959 г) в Усть-Вымском районе Республики Коми Российской Федерации. Образует городское поселение «Микунь».
Дорогобуж,10720,"Дорогобуж — город в центральной России, административный центр Дорогобужского района Смоленской области. Население — 9793[2] чел. (2018). Город расположен в 25 км от трассы Москва-Минск, на берегу реки Днепр, в 113 км от Смоленска."
Заозёрный,10683,"Заозёрный — город (с 13 октября 1948 года), административный центр Рыбинского района Красноярского края."
Высоковск,10642,"Высоковск — город (с 1940) в Клинском районе Московской области России, административный центр городского поселения Высоковск."
ЩёлкиноОспаривается,10620,"Щёкино — город (с 27 ноября 1938[2]) в Тульской области России, административный центр Щёкинского района."
Каргат,10620,"Каргат (тюрк. «чёрная ягода», то есть смородина) — город (с 1965) в России, административный центр Каргатского района Новосибирской области."
Александровск-Сахалинский,10613,"Александровск-Сахалинский — город (с 1917 года) в России, административный центр городского округа «Александровск-Сахалинский район» Сахалинской области России."
Порхов,10608,"Порхов — город (с 1239[2]) в России, административный центр Порховского района Псковской области. Составляет городское поселение Порхов — в границах города[3]."
Змеиногорск,10569,"Змеиногорск — город (с 1952) в России, административный центр Змеиногорского района и городского поселения город Змеиногорск Алтайского края."
Суздаль,10535,"Суздаль — город во Владимирской области России, административный центр Суздальского района. Входит в Золотое кольцо России."
Вытегра,10490,"Вытегра — город (с 1773) в России, административный центр Вытегорского района Вологодской области."
Кола,10447,"Кола — город (с 1784) в России, административный центр Кольского района Мурманской области, исторический центр Кольского полуострова, город-спутник Мурманска."
Кирс,10420,"Кирс — город, административный центр Верхнекамского района Кировской области России."
Ермолино,10409,"Ермолино — город в Боровском районе Калужской области России.
Расположен на реке Протва (приток Оки), в 7 км от железнодорожной станции Балабаново (на линии Москва — Брянск) и в 13 км от районного центра — города Боровска."
Козловка,10355,"Козловка (чуваш. Куславкка) — город в Чувашской Республике России. Административный центр Козловского района, образует Козловское городское поселение."
Сольцы,10317,"Сольцы — город (с 1914[2]) в России, административный центр Солецкого муниципального района Новгородской области, Солецкого городского поселения."
Вилюйск,10233,"Вилюйск (якут. Бүлүү) — город (с 1783) в Российской Федерации, административный центр Вилюйского улуса Республики Саха (Якутия). Образует городское поселение город Вилюйск. Является одним из старейших городов северо-востока Азии и Дальнего Востока, основан в 1634 году русскими казаками первопроходцами."
Уржум,10213,"Уржум (луговомар. Вӱрзым, Ӱржӱм) — город (с 1796) в России, административный центр Уржумского района Кировской области, образует Уржумское городское поселение."
Наволоки,10207,"Наволоки — город (с 1938[2]) районного подчинения в Кинешемском районе Ивановской области России, административный центр Наволокского городского поселения. Население — 9546[1] чел. (2017). День города — третья суббота июня, (в 2018 году — 80 лет)."
Юрьевец,10205,"Юрьевец — город (с 1225[2]) в России, административный центр Юрьевецкого района Ивановской области. Город расположен на правом берегу Волги (Горьковское водохранилище) и напротив устья реки Унжи, в 159 км к северо-востоку от Иванова, в 58 км от железнодорожной станции Кинешма[3]. Население — 8378[1] чел. (2017)."
Миньяр,10195,Миньяр — город (с 14 мая 1943 года) в Ашинском районе Челябинской области России. Административный центр Миньярского городского поселения. Население составляет 9342[1] чел. (2017).
Мариинский Посад,10186,"Мариинский Посад (устар. Сундырь, чуваш. Сĕнтĕрвăрри) — город в Чувашской Республике. Административный центр Мариинско-Посадского района, образует Мариинско-Посадское городское поселение."
Нюрба,10156,"Нюрба (якут. Ньурба) — город, административный центр Нюрбинского района Республики Саха (Якутии) Российской Федерации, образует городское поселение город Нюрба."
Краснослободск,10151,"Краснослободск (мокш. Ош) — город (с 1706 г.) в Республике Мордовия Российской Федерации. Административный центр Краснослободского района, образует одноимённое муниципальное образование Краснослободское городское поселение  как единственный населённый пункт в его составе[3]."
Каргополь,10148,Каргополь — город в Архангельской области Российской Федерации. Административный центр Каргопольского района и Каргопольского городского поселения. Население — 10 055[1] чел. (2017).
Ельня,10095,"Ельня — город (с 1776 года[3]) в России, административный центр Ельнинского района Смоленской области. Население — 8993[2] чел. (2018)."
Харовск,10078,"Харовск — город (с 1954 г.) в России, административный центр Харовского района Вологодской области."
Южно-Сухокумск,10048,"Южно-Сухокумск — город на юге России, в республике Дагестан. Образует городской округ город Южно-Сухокумск."
Рудня,10029,"Рудня — город (с 1926 года[2]) в России, административный центр Руднянского района Смоленской области."
Волчанск,10008,"Волчанск  (до 1956 г. — посёлок Лесная Волчанка) — город в Свердловской области России, административный центр Волчанского городского округа."
Кувшиново,10008,"Кувшиново — город (с 1938[3]) на северо-западе России, центр Кувшиновского района Тверской области. Образует городское поселение город Кувшиново."
Володарск,9924,Володарск — город (с 1956[2])  в Нижегородской области России. Административный центр Володарского муниципального района[3].
Нея,9827,"Нея — город (с 1958[2]) в Костромской области в Российской Федерации, административный центр Нейского района и одноимённого муниципального района город Нея и Нейский район."
Ивангород,9797,"Ивангород[3][4][5][6] (Ивангород[7], Ива̀нгород[8], Иван-Город[9], Иван-город[10]) — город на северо-западе России, входит в состав Кингисеппского муниципального района Ленинградской области, административный центр Ивангородского городского поселения."
Тотьма,9784,"Тотьма — город в России, основан в 1137 году, административный центр Тотемского муниципального района Вологодской области. Город расположен на левом берегу реки Сухона, в месте впадения в неё реки Песья Деньга, в 215 км от Вологды. Население — 9895[1] чел. (2017). Входит в список 41 особо ценных исторических городов России, сохранивших как планировку, так и большую часть старинной застройки[2]. На территории города находится немалое количество памятников федерального и регионального значения[3]."
Суоярви,9763,"Суоярви (Шуерецкий погост, фин. и карел. Suojärvi — болотное озеро) — город в Республике Карелия Российской Федерации. Административный центр Суоярвского района, образует Суоярвское городское поселение."
Пудож,9698,"Пудож (также — Пудога, карел. Puudoži, вепс. Pudož, фин. Puutoinen) — город в России в составе Республики Карелия. Административный центр Пудожского района, образует Пудожское городское поселение. Исторический центр Никольского погоста Новгородской земли, известный по новгородским переписным окладным книгам со Средних веков."
Задонск,9695,"Задонск — город (с 1779 г.[2]) в России, административный центр Задонского района Липецкой области. Расположен в пределах Среднерусской возвышенности в живописной местности на левом берегу реки Дон, в непосредственной близости от магистральной автодороги М4 «Дон», в 60 км от Липецка и в 80 км от Воронежа."
Таруса,9656,"Таруса — город в России, административный центр Тарусского района Калужской области."
Болохово,9619,Болохово — город (с 1943[2]) в Киреевском районе Тульской области России. Образует одноимённое муниципальное образование город Болохово со статусом городского поселения как единственный населённый пункт в его составе[3].
Белозерск,9614,"Белозерск[3] — город в России, административный центр Белозерского муниципального района Вологодской области. Белозерск расположен на берегу Белого озера. Население — 8914[2] чел. (2017)."
Ядрин,9614,"Ядрин, в XVIII веке Ядринск (чуваш. Етĕрне, луговомар. Ядырна, горномар. Йӓдӹрнӓ) — город (с 1781) в России, административный центр Ядринского района Чувашской республики."
Городовиковск,9565,"Городовиковск (среди горожан употребляется также прежнее наименование Башанта, калм. Бәәшңтә) — город в России, административный центр Городовиковского района и Городовиковского городского муниципального образования Калмыкии."
Сковородино,9561,"Сковородино — город (с 1927 года) в России, административный центр Сковородинского района Амурской области, а также Сковородинского городского поселения."
Нолинск,9556,"Нолинск — город (с 1780) в Российской Федерации, административный центр Нолинского района Кировской области, образует Нолинское городское поселение."
Покровск,9495,"Покровск (якут. Покровскай) — город, административный центр Хангаласского улуса Республики Саха (Якутия), образует городское поселение город Покровск."
Олёкминск,9487,"Олёкминск (якут. Өлүөхүмэ) — город (с 1783) в России, административный центр Олёкминского района Республики Саха (Якутия), образует городское поселение город Олёкминск."
Устюжна,9478,"Устюжна — город в России, административный центр Устюженского района Вологодской области."
Верхняя Тура,9468,Верхняя Тура — город (с 1941) в Свердловской области России.
Верхнеуральск,9459,"Верхнеуральск — город (с 1734) в России, административный центр Верхнеуральского муниципального района Челябинской области."
Ардатов,9400,"Ардатов (эрз. Орданьбуе ош) — город (с 1780 г.) в Республике Мордовия Российской Федерации. Центр Ардатовского района, образует одноимённое муниципальное образование в статусе городского поселения Ардатов как единственный населённый пункт в его составе[3]."
Облучье,9379,"Облучье (идиш ‏אָבלוטשיע‏‎[2]) — город (с 1938) в России, административный центр Облученского района Еврейской автономной области."
Западная Двина,9376,"Западная Двина — город (с 1937[2]) в России, областного подчинения, административный центр (с 1929)[3] Западнодвинского района Тверской области."
Серафимович,9368,"Серафимович — город (с 1933) в России, административный центр Серафимовичского района Волгоградской области. Бывшая станица Усть-Медведицкая Войска Донского. Располагается на правом берегу реки Дон, в 260 км от Волгограда."
Старый КрымОспаривается,9277,"Стародуб, также Стародуб Сéверский — город в Брянской области России, административный центр Стародубского района. Расположен на реке Бабинце, в 145 км к юго-западу от Брянска. Население — 18 824[1] чел. (шестой по величине город области). В прошлом — один из центров Северской земли, административный центр Стародубского полка Запорожского Войска (Гетманщины). С 1802 по 1917 год — уездный город Черниговской губернии. На сегодняшний день образует городской округ город Стародуб, в состав муниципального района не входит."
